staircase,-1.30681483,-1188912701
inspired,-0.696562696,-1188858072
swollen,-0.661044875,-1185506859
reference,-1.26160791,-1180581939
punch,-0.707047039,-1179604791
sickness,-0.668316889,-1169607522
embrace,-0.488002866,-1169344718
annoyed,-1.018177886,-1167403772
arrangement,-0.759375865,-1165905335
wrath,-0.915462085,-1163483994
selfish,-0.681519116,-1151415803
stained,-0.780971188,-1149346246
retire,-0.282934896,-1148802380
disappear,-0.733423036,-1147816464
attractive,-1.212016973,-1141315894
discomfort,-0.286127747,-1141102607
bend,-1.62125645,-1133667416
sincere,-0.552018277,-1131970665
heels,-1.142289329,-1128952014
envy,-0.695910165,-1127944814
admired,-0.761119446,-1125054886
whoever,-0.842927588,-1124039446
absent,-1.283286562,-1117392475
flooded,-0.401780106,-1115253342
bold,-1.410458296,-1108962766
lands,-1.289127179,-1101247494
appropriate,-0.705410024,-1096433118
forgetting,-0.387167082,-1090628936
disguise,-0.453227664,-1087656531
swore,-0.605838244,-1087099036
polite,-0.916488445,-1086524213
feature,-0.500734264,-1085953351
eyebrows,-1.337922022,-1084636404
undoubtedly,-0.823638367,-1077359332
ringing,-0.782530695,-1075606547
motives,-0.947017934,-1072262797
confession,-0.949874266,-1072125830
temptation,-0.551789999,-1068663414
prize,-0.794641732,-1068656602
described,-1.200524465,-1068262211
bark,-0.803720991,-1059227433
invited,-1.207921184,-1058755665
settle,-0.972562732,-1057911311
introduce,-0.374331306,-1055264994
shrill,-0.838868994,-1051897969
background,-0.913469113,-1048201662
rocking,-0.570154308,-1046547781
tobacco,-1.16993167,-1041111698
hopelessly,-0.316346314,-1033304581
revelation,-0.928096132,-1028884595
expressions,-0.258404619,-1025499768
sour,-0.452923544,-1025489296
denied,-0.597065646,-1024299720
liking,-0.264468539,-1023811248
devotion,-0.755758766,-1021765514
praise,-0.807913942,-1017861302
travelled,-1.423178117,-1017810792
allowing,-0.444109317,-1016253520
sober,-0.961824656,-1015334443
corrected,-0.369253384,-1013301133
odour,-0.934601511,-1012133766
commands,-0.349780574,-1009116517
rusty,-0.380533202,-1001656436
entertainment,-0.565286005,-1001359766
fascination,-0.22151708,-999666914.8
envelope,-2.432909796,-999030692.2
appeal,-1.349223563,-995539350.6
precise,-0.918988435,-992591539.2
secure,-1.215758311,-992577873.5
throwing,-1.026643833,-989406181.5
amusement,-0.908656705,-989263305.1
lively,-0.651924507,-986401331.6
discussed,-0.767823366,-984439155.4
